Library_Name,sampleid
JTMR009CF,AC01PE11
JTMR008BF,AC01PE12
JTMR009BY,AC01PE13
JTMR008BC,AC01PE14
JTMR009DJ,AC01PE15
JTMR009DD,AC01PN11
JTMR008CW,AC01PN12
JTMR009DA,AC01PN13
JTMR009CZ,AC01PN14
JTMR009U,AC01PN15
JTMR008DX,AC01SE11
JTMR009CG,AC01SE12
JTMR009EF,AC01SE13
JTMR009EK,AC01SE14
JTMR009A,AC01SE15
JTMR008AE,AC01SN11
JTMR009FF,AC01SN12
JTMR009V,AC01SN13
JTMR008CN,AC01SN14
JTMR008FD,AC01SN15
JTMR008DK,AC02PE11
JTMR008CU,AC02PE12
JTMR008R,AC02PE13
JTMR009CL,AC02PE14
JTMR008BH,AC02PE15
JTMR009EN,AC02PN11
JTMR009BC,AC02PN12
JTMR009AD,AC02PN13
JTMR008AS,AC02PN14
JTMR009O,AC02PN15
JTMR008BN,AC02SE11
JTMR008DS,AC02SE12
JTMR009CD,AC02SE13
JTMR009FC,AC02SE14
JTMR009AW,AC02SE15
JTMR009AO,AC02SN11
JTMR008ER,AC02SN12
JTMR008AN,AC02SN13
JTMR008DM,AC02SN14
JTMR009FG,AC02SN15
JTMR008EZ,AC04PE11
JTMR008AY,AC04PE12
JTMR008AA,AC04PE13
JTMR008EX,AC04PE14
JTMR009AZ,AC04PN11
JTMR009EU,AC04PN12
JTMR009T,AC04PN13
JTMR008EA,AC04PN14
JTMR009N,AC04PN15
JTMR008BX,AC04SE11
JTMR009Q,AC04SE12
JTMR008CS,AC04SE13
JTMR009AG,AC04SE14
JTMR009CT,AC04SE15
JTMR009AB,AC04SN11
JTMR009ET,AC04SN12
JTMR008AU,AC04SN13
JTMR008FF,AC04SN14
JTMR008CC,AC04SN15
JTMR009DP,AC05PE11
JTMR008CX,AC05PE12
JTMR008E,AC05PE13
JTMR008EN,AC05PE14
JTMR009CC,AC05PE15
JTMR009R,AC05PN11
JTMR009BG,AC05PN12
JTMR008FA,AC05PN13
