"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","0319-6G20","0319-7L14","053A03-B-DI-P58","11-24","211ds20","Abditibacteriales","Acetobacterales","Acholeplasmatales","Acidaminococcales","Acidiferrobacterales","Acidimicrobiales","Acidobacteriae","Acidobacteriales","Actinomarinales","AD3","AKAU4049","Alicyclobacillales","Alphaproteobacteria_Incertae_Sedis","Anaerolineales","Ardenticatenales","Armatimonadales","Azospirillales","B10-SB3A","B12-WMSP1","Babeliales","Bacillales","bacteriap25","Bacteriovoracales","Bacteroidales","Bacteroidetes_VC2.1_Bac22","BD2-11_terrestrial_group","Bdellovibrionales","Berkelbacteria","Blastocatellales","Blfdi19","Bradymonadales","Brevibacillales","Bryobacterales","Burkholderiales","C0119","Caedibacterales","Caldilineales","Campylobacterales","Candidatus_Jorgensenbacteria","Candidatus_Kaiserbacteria","Candidatus_Moranbacteria","Candidatus_Nomurabacteria","Candidatus_Pacebacteria","Candidatus_Peribacteria","Candidatus_Woesebacteria","Candidatus_Yanofskybacteria","Caulobacterales","CCD24","Cellvibrionales","Chitinophagales","Chlamydiales","Chloroflexales","Chloroplast","Christensenellales","Chthoniobacterales","Chthonomonadales","Clostridia","Clostridia_UCG-014","Clostridia_vadinBB60_group","Clostridiales","Competibacterales","Coriobacteriales","Corynebacteriales","Coxiellales","Cyanobacteriales","Cytophagales","Deferribacterales","Defluviicoccales","Deinococcales","Desulfitibacterales","Desulfovibrionales","Diplorickettsiales","Dojkabacteria","Dongiales","DS-100","EC3","Elev-16S-573","Elsterales","Enterobacterales","Entomoplasmatales","Entotheonellales","EPR3968-O8a-Bc78","Erysipelotrichales","Eubacteriales","Euzebyales","Ferrovibrionales","FFCH16767","Fibrobacterales","Fimbriimonadales","Flavobacteriales","Frankiales","Gaiellales","GAL15","Gammaproteobacteria_Incertae_Sedis","Gastranaerophilales","Gemmatales","Gemmatimonadales","Geobacterales","Gitt-GS-136","Glycomycetales","GWA2-38-13b","Haliangiales","Holosporales","Hydrogenedentiales","IMCC26256","Isosphaerales","Izemoplasmatales","JG30-KF-CM66","JTB23","Kallotenuales","Kapabacteriales","Kazania","KD4-96","KI89A_clade","Kiloniellales","Kineosporiales","Ktedonobacterales","Lachnospirales","Lactobacillales","Legionellales","Leptolyngbyales","Limnochordales","Lineage_IIa","Lineage_IIb","Lineage_IIc","Lineage_IV","Longimicrobiales","Marine_Group_II","MB-A2-108","MBNT15","Methanobacteriales","Methylococcales","Micavibrionales","Micrococcales","Microgenomatia","Micromonosporales","Micropepsales","Microtrichales","mle1-27","Monoglobales","MSB-4B10","MVP-88","Mycoplasmatales","Myxococcales","N9D0","Nannocystales","NB1-j","Nitriliruptorales","Nitrosococcales","Nitrososphaerales","Nitrospirales","Obscuribacterales","Oceanospirillales","OLB14","Oligoflexales","OM190","Opitutales","Oscillospirales","Oxyphotobacteria_Incertae_Sedis","P2-11E","Paenibacillales","Paracaedibacterales","Parcubacteria","PB19","Pedosphaerales","Peptococcales","Peptostreptococcales-Tissierellales","Phormidesmiales","Phycisphaerales","Pirellulales","Pla4_lineage","Planctomycetales","PLTA13","Polyangiales","Propionibacteriales","Pseudomonadales","Pseudonocardiales","Puniceispirillales","Pyrinomonadales","R7C24","RBG-13-54-9","RCP2-54","Reyranellales","RF39","Rhizobiales","Rhodobacterales","Rhodospirillales","Rhodothermales","Rickettsiales","Rokubacteriales","Rubrobacterales","S0134_terrestrial_group","S085","Saccharimonadales","Salinisphaerales","SAR202_clade","SAR324_clade(Marine_group_B)","SBR1031","Sericytochromatia","SHA-26","Silvanigrellales","SJA-28","Sneathiellales","Solibacterales","Solirubrobacterales","Sphingobacteriales","Sphingomonadales","Staphylococcales","Steroidobacterales","Streptomycetales","Streptosporangiales","Subgroup_17","Subgroup_2","Subgroup_22","Subgroup_25","Subgroup_5","Subgroup_7","Sumerlaeales","Symbiobacteriales","Tepidisphaerales","Thalassobaculales","Thermoactinomycetales","Thermoanaerobaculales","Thermobaculales","Thermomicrobiales","Tistrellales","TK10","TX1A-33","UA11","uncultured","Unknown","vadinHA49","Vampirovibrionales","Veillonellales-Selenomonadales","Verrucomicrobiales","VHS-B3-70","Vicinamibacterales","Woesearchaeales","WPS-2","WS2","WWE3","Xanthomonadales","Zavarziniales"
1,1,"4/19/21 16:55",1,7,0,0,1,-119.6549475,35.08328973,NA,NA,"AS07SN11","S","S","E",1,"S07","S07SE1","S07SN1","S07","SE","4/19/21 16:55",16,55,16.91666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S701","JTMR008CQ",55,123,0,31,5,11,599,0,0,0,18,0,27,0,0,0,26,0,0,0,36,204,0,0,0,908,287,0,0,0,5,10,0,70,0,0,17,409,988,128,0,17,0,0,0,0,0,0,0,0,0,89,0,0,346,0,122,0,0,520,9,0,0,0,0,0,0,495,0,0,881,0,0,0,0,0,0,0,21,0,0,0,563,0,0,27,0,0,0,7,0,5,12,6,0,4990,923,0,73,0,5,1653,0,163,10,0,69,0,0,175,133,0,25,0,141,5,0,948,0,0,832,0,0,0,0,0,0,0,0,0,3,176,22,263,0,0,0,0,1161,0,1729,14,207,0,0,8,0,0,198,0,0,0,12,71,15,57,0,0,0,0,0,16,0,0,3,496,0,0,0,85,0,0,0,0,0,0,0,0,206,1059,8,1142,0,1624,0,0,8,50,0,2470,30,3,0,0,7,1371,28,50,35,0,0,0,3,2,0,0,0,0,44,4080,89,860,0,95,1187,485,23,0,0,0,0,203,0,0,113,5,4,45,0,1662,88,276,0,0,178,716,0,0,0,0,0,775,0,6,0,0,17,0
2,2,"4/19/21 17:05",1,7,1,0,1,-119.655221,35.06577047,NA,NA,"AS07PE11","S","P","E",1,"S07","S07PE1","S07PE1","S07","PE","4/19/21 17:05",17,5,17.08333333,"Spring",NA,NA,NA,34.13,37.14,NA,NA,2,0,"S701","JTMR008DP",0,346,0,6,0,0,246,0,0,0,0,0,4,0,0,0,0,0,2,0,13,125,0,0,0,792,107,9,0,0,6,19,0,66,3,0,0,149,1013,0,0,13,0,0,0,0,0,0,0,0,0,169,0,0,108,0,42,6,0,171,0,0,0,0,0,0,0,355,0,2,622,0,0,4,0,0,0,0,24,3,0,0,70,0,0,4,0,0,0,25,0,5,5,0,101,2539,725,0,15,0,0,841,0,364,31,0,34,0,0,52,23,0,20,0,135,3,0,317,0,0,38,0,0,0,0,0,0,0,0,0,0,173,9,174,0,0,0,0,1609,0,845,0,234,8,0,0,0,0,135,0,0,0,9,15,36,19,0,9,0,0,0,11,0,0,0,203,0,0,0,62,0,0,0,0,0,0,0,0,87,2149,29,771,13,178,0,0,0,43,0,1510,53,0,0,0,0,779,91,25,40,0,0,0,4,0,0,0,0,0,0,2224,288,666,0,54,1359,427,0,0,0,0,0,44,12,0,19,0,6,11,0,1418,169,60,0,0,49,215,0,0,0,25,0,329,0,0,0,0,246,0
3,3,"4/19/21 11:10",1,8,1,0,1,-119.6802852,35.05927597,NA,NA,"AS08PE11","S","P","E",1,"S08","S08PE1","S08PE1","S08","PE","4/19/21 11:10",11,10,11.16666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR009DY",0,116,0,8,0,0,757,0,0,0,0,0,0,0,0,0,0,0,12,0,60,746,0,0,0,261,79,7,0,0,0,0,0,45,7,0,0,273,411,33,0,17,0,0,0,0,0,0,0,0,0,207,0,8,170,0,66,3,0,219,0,0,0,0,0,0,0,310,0,48,433,0,0,3,0,0,0,0,5,8,0,0,275,0,0,0,0,0,0,22,0,0,17,0,10,5757,373,0,39,0,9,948,0,225,35,0,125,0,0,83,49,0,59,0,497,15,0,447,0,0,42,0,5,0,5,0,0,0,0,0,0,229,13,133,0,0,0,0,928,0,740,6,369,0,0,0,0,0,88,0,20,0,0,0,74,69,0,18,7,3,0,26,0,0,0,33,0,0,0,87,0,0,0,0,8,0,2,0,193,1165,0,1394,28,329,0,0,0,63,0,3321,99,4,0,0,11,1575,54,23,27,0,0,0,18,0,0,0,0,0,11,2384,40,663,0,150,1203,421,21,0,0,0,0,74,7,0,72,5,9,84,0,2800,543,160,0,10,104,396,0,0,0,28,0,650,0,0,0,0,88,0
4,4,"4/19/21 11:39",1,8,0,0,1,-119.6800302,35.0587963,NA,NA,"AS08SE11","S","S","E",1,"S08","S08SE1","S08SE1","S08","SE","4/19/21 11:39",11,39,11.65,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR008AC",15,427,0,46,0,4,771,0,0,0,17,0,0,5,0,2,0,0,14,18,83,759,0,0,0,576,297,0,0,0,0,35,0,180,0,0,0,231,711,119,0,22,0,0,0,0,0,0,0,0,0,170,12,0,405,0,91,27,0,286,8,0,0,0,5,0,0,317,0,0,828,0,0,0,0,0,0,0,11,4,0,0,327,0,16,89,0,0,0,46,0,0,34,13,5,7707,2271,0,47,0,19,1712,0,227,0,0,272,0,0,159,111,0,86,0,591,11,0,876,0,0,191,0,0,0,4,0,0,0,3,0,0,307,28,490,0,0,0,0,1414,0,1172,0,479,0,0,0,0,0,137,0,11,0,6,66,86,89,4,9,19,5,0,0,0,0,13,77,0,0,0,99,0,0,0,0,2,2,0,0,140,1079,78,1386,37,1188,0,4,16,64,0,3456,325,0,10,4,69,3337,212,88,39,0,21,0,27,0,0,0,0,4,23,4015,47,1053,0,94,516,268,20,0,0,0,11,372,0,0,27,5,58,247,0,2810,507,379,0,0,228,742,0,0,0,28,0,1100,0,0,0,0,14,0
6,6,"4/19/21 14:38",1,10,0,0,1,-119.480762,34.98586131,NA,NA,"AS10SE11","S","S","E",1,"S10","S10SE1","S10SE1","S10","SE","4/19/21 14:38",14,38,14.63333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1001","JTMR009CU",0,153,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,174,207,0,0,0,142,81,0,0,0,0,0,0,18,0,0,0,159,172,131,0,0,0,0,0,0,0,0,0,0,0,76,0,0,464,0,93,0,0,53,3,0,0,0,0,0,0,139,0,27,80,0,0,0,0,0,0,0,10,0,0,0,206,0,0,7,0,0,0,12,0,0,0,0,0,4327,540,0,29,0,0,898,0,62,0,0,37,0,0,105,266,0,41,0,461,0,0,388,0,0,208,0,0,0,0,0,0,0,0,0,0,124,3,94,0,0,0,0,229,0,888,0,236,6,0,0,0,0,47,0,0,0,0,21,10,24,2,4,0,0,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,0,0,0,45,350,0,1059,8,677,0,0,0,26,0,1465,42,0,0,0,12,1905,6,17,10,0,0,0,0,0,0,0,0,0,0,1417,5,426,0,35,391,293,0,0,0,0,0,46,0,0,49,0,0,11,0,1259,198,186,0,0,35,228,0,0,0,0,0,160,0,0,0,0,6,0
9,9,"4/19/21 14:08",1,10,1,1,1,-119.6921527,35.06498,NA,NA,"AS10PN11","S","P","N",1,"S10","S10PN1","S10PN1","S10","PN","4/19/21 14:08",14,8,14.13333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR008AT",0,32,0,18,0,7,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,176,282,0,0,0,114,64,0,0,0,0,0,0,128,0,0,0,415,1169,93,0,13,0,0,0,0,0,0,0,0,0,242,3,17,932,0,207,2,0,265,2,0,0,0,0,0,0,445,0,65,1111,0,0,0,0,0,10,0,0,0,0,0,140,0,24,0,0,0,0,5,0,0,4,28,8,10696,205,0,28,0,26,1882,0,9,0,0,10,0,0,37,109,0,49,0,497,5,0,390,0,0,492,0,0,0,7,0,0,2,0,0,0,241,0,41,0,0,0,0,1522,0,2893,15,233,6,0,0,0,0,193,0,6,0,0,15,27,20,0,6,0,0,0,37,0,0,0,59,0,0,0,100,0,0,0,0,7,0,18,0,334,2004,19,2459,19,654,0,0,0,9,0,4009,174,4,0,0,3,1084,0,0,64,0,0,0,3,13,0,0,0,0,0,3028,61,1557,0,20,324,623,0,0,0,0,0,234,0,0,90,0,0,31,0,1378,154,185,0,0,131,293,0,0,0,0,0,551,0,0,0,0,14,0
10,10,"4/19/21 14:26",1,10,0,1,1,-119.6921896,35.06494627,NA,NA,"AS10SN11","S","S","N",1,"S10","S10SN1","S10SN1","S10","SN","4/19/21 14:26",14,26,14.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR009AM",0,157,0,38,0,3,846,0,0,0,0,0,0,0,0,7,6,0,0,0,180,208,0,0,0,142,151,0,0,0,0,9,0,29,0,0,0,146,270,193,0,13,0,0,0,0,0,0,0,0,0,41,0,0,417,0,85,0,0,174,0,0,0,0,0,0,0,120,0,37,209,0,0,0,0,0,0,0,14,0,0,0,226,0,3,15,0,0,0,8,0,0,0,2,0,5176,668,0,16,0,0,1209,0,45,0,0,63,0,0,96,8,0,40,0,474,4,0,530,0,0,269,0,0,0,0,0,0,0,0,0,0,144,3,108,0,0,0,0,371,0,886,4,169,4,0,0,0,0,50,0,0,0,7,81,21,24,0,5,0,0,0,0,0,0,0,70,0,0,0,35,0,0,0,0,0,0,0,0,79,555,0,884,12,824,0,0,0,33,0,1746,82,0,0,0,20,2137,12,16,2,0,0,0,5,0,0,0,0,0,18,1934,9,487,0,0,308,199,0,0,0,3,0,76,0,0,0,0,0,61,0,1323,226,189,0,0,70,454,0,0,0,7,0,294,0,0,0,0,6,0
11,11,"4/19/21 12:34",1,9,1,1,1,-119.6857639,35.06167467,NA,NA,"AS09PN11","S","P","N",1,"S09","S09PN1","S09PN1","S09","PN","4/19/21 12:34",12,34,12.56666667,"Spring",NA,NA,NA,34.56,33.96,35.83,34.64,4,1,"S911","JTMR008Z",0,63,0,0,0,0,711,0,0,11,0,0,49,0,7,0,32,0,3,7,54,454,0,0,0,1343,166,4,64,0,0,20,0,125,0,0,0,475,1013,120,0,42,0,0,0,0,0,0,0,0,0,300,0,7,471,0,212,65,0,251,16,0,0,0,0,0,0,660,0,79,362,0,0,0,0,0,0,0,31,6,0,0,407,8,0,10,0,0,0,0,0,6,8,19,66,6337,737,0,48,0,9,2254,0,90,19,0,32,0,0,138,146,0,33,0,216,2,0,789,0,0,211,2,0,13,7,0,0,0,0,0,0,279,10,83,0,0,0,0,1060,0,1486,27,285,25,0,12,0,0,360,0,0,0,9,70,44,117,0,16,0,0,0,16,6,0,0,177,0,0,0,82,0,2,0,0,0,0,0,0,182,2421,46,1868,13,635,0,0,0,73,0,3729,178,0,0,39,10,1971,52,16,49,10,0,0,9,9,0,0,0,0,16,3397,133,1699,0,45,2443,972,0,0,0,0,0,87,11,0,66,0,0,64,0,1855,187,149,0,0,191,257,0,0,0,3,3,579,0,0,3,0,252,0
12,12,"4/19/21 12:49",1,9,0,1,1,-119.6858767,35.06172396,NA,NA,"AS09SN11","S","S","N",1,"S09","S09SN1","S09SN1","S09","SN","4/19/21 12:49",12,49,12.81666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S911","JTMR008AD",0,49,0,0,0,9,695,0,0,0,0,0,0,0,0,0,83,0,0,0,26,528,0,0,6,703,57,0,0,0,6,33,0,116,13,0,0,209,1063,66,0,46,0,0,0,0,0,0,0,0,0,199,8,0,716,0,113,1168,0,221,0,0,0,0,0,0,0,256,0,444,907,0,0,2,0,0,0,0,0,10,0,0,152,2,34,0,0,4,0,4,0,0,8,6,46,5802,175,0,22,0,0,974,0,138,10,0,62,0,0,152,167,0,56,0,216,3,0,644,0,0,284,0,2,0,0,0,0,0,0,0,0,559,9,45,0,0,0,0,2229,0,1279,11,325,9,0,0,0,0,173,0,23,0,0,0,29,37,0,20,0,6,0,15,0,0,0,39,0,0,0,83,0,0,0,0,0,0,0,0,222,1505,8,1237,29,621,1,0,0,0,0,3035,404,0,0,238,0,882,33,17,47,0,0,0,19,19,0,0,0,0,0,2058,95,897,0,13,701,336,5,0,0,0,0,312,5,0,25,0,16,184,0,1016,91,153,0,0,117,238,0,0,0,26,0,416,0,0,0,0,83,0
13,13,"4/19/21 12:59",1,9,1,0,1,-119.6859942,35.06130704,NA,NA,"AS09PE11","S","P","E",1,"S09","S09PE1","S09PE1","S09","PE","4/19/21 12:59",12,59,12.98333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S901","JTMR008AO",21,25,0,0,0,0,847,0,0,0,0,0,0,0,0,0,0,0,3,33,57,1188,0,0,0,210,45,9,0,0,0,14,0,382,15,0,0,342,1132,75,0,113,0,0,0,0,0,0,0,0,0,428,6,0,1028,0,366,293,0,359,4,0,0,0,0,0,0,870,0,271,902,0,0,3,0,0,4,0,0,0,0,0,121,0,5,0,0,0,0,8,0,0,10,24,220,7360,120,0,60,0,7,1498,0,96,0,0,250,0,0,60,104,0,26,0,374,10,0,357,0,0,248,0,0,26,11,0,0,0,0,0,0,255,0,15,0,0,0,0,2240,0,1545,28,460,0,0,0,0,0,197,0,31,0,0,0,33,29,0,26,0,0,0,138,0,68,0,9,0,0,0,109,0,2,0,0,0,0,0,0,502,1965,101,1699,9,390,4,0,0,16,0,4116,328,0,0,25,0,961,0,0,16,0,0,0,62,0,0,0,0,0,0,2075,337,1128,0,77,484,368,0,0,0,0,0,84,21,0,37,0,0,332,0,1806,157,81,0,0,118,304,0,0,0,78,0,486,0,0,0,0,203,0
