"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","Agaricomycetes","Agaricostilbomycetes","Archaeosporomycetes","Arthoniomycetes","Basidiobolomycetes","Chytridiomycetes","Cystobasidiomycetes","Dothideomycetes","Entorrhizomycetes","Eurotiomycetes","Exobasidiomycetes","Geminibasidiomycetes","Glomeromycetes","GS14","Lecanoromycetes","Leotiomycetes","Lobulomycetes","Microbotryomycetes","Monoblepharidomycetes","Mortierellomycetes","Mucoromycetes","Olpidiomycetes","Orbiliomycetes","Pezizomycetes","Pezizomycotina_cls_Incertae_sedis","Pucciniomycetes","Rhizophlyctidomycetes","Rhizophydiomycetes","Rozellomycotina_cls_Incertae_sedis","Saccharomycetes","Sordariomycetes","Spizellomycetes","Taphrinomycetes","Tremellomycetes","Umbelopsidomycetes","unidentified","Unknown","Ustilaginomycetes","Wallemiomycetes"
1,1,"4/19/21 16:55",1,7,0,0,1,-119.6549475,35.08328973,NA,NA,"AS07SN11","S","S","E",1,"S07","S07SE1","S07SN1","S07","SE","4/19/21 16:55",16,55,16.91666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S701","JTMR011CQ",288,0,16,4521,0,0,0,36802,0,7475,0,0,590,0,0,2818,0,0,0,0,25,0,64,730,0,0,0,0,0,0,9599,2,4,951,0,37,1973,0,0
2,2,"4/19/21 17:05",1,7,1,0,1,-119.655221,35.06577047,NA,NA,"AS07PE11","S","P","E",1,"S07","S07PE1","S07PE1","S07","PE","4/19/21 17:05",17,5,17.08333333,"Spring",NA,NA,NA,34.13,37.14,NA,NA,2,0,"S701","JTMR011DP",167,0,0,160,0,0,4,16863,0,16082,0,0,10,0,0,29334,0,0,0,0,124,0,316,2810,211,0,0,0,0,49,10067,266,0,220,0,108,3238,0,0
3,3,"4/19/21 11:10",1,8,1,0,1,-119.6802852,35.05927597,NA,NA,"AS08PE11","S","P","E",1,"S08","S08PE1","S08PE1","S08","PE","4/19/21 11:10",11,10,11.16666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR010DY",583,0,0,611,0,19,15,11358,0,8352,0,0,191,0,0,2645,13,11,0,929,283,17,140,1322,0,0,0,9,0,79,15448,39,0,381,0,1088,1551,0,0
4,4,"4/19/21 11:39",1,8,0,0,1,-119.6800302,35.0587963,NA,NA,"AS08SE11","S","S","E",1,"S08","S08SE1","S08SE1","S08","SE","4/19/21 11:39",11,39,11.65,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR011AC",813,0,0,491,0,0,0,29322,0,531,0,0,135,0,0,8983,0,0,0,0,0,0,11,1296,0,0,0,0,0,0,3326,0,0,94,0,12,196,0,0
6,6,"4/19/21 14:38",1,10,0,0,1,-119.480762,34.98586131,NA,NA,"AS10SE11","S","S","E",1,"S10","S10SE1","S10SE1","S10","SE","4/19/21 14:38",14,38,14.63333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1001","JTMR010CU",5424,0,0,193,0,0,6,40163,0,4831,0,0,1529,0,0,16110,0,0,113,506,0,82,405,1721,0,0,5,35,0,0,15395,700,0,1071,0,110,9557,293,0
9,9,"4/19/21 14:08",1,10,1,1,1,-119.6921527,35.06498,NA,NA,"AS10PN11","S","P","N",1,"S10","S10PN1","S10PN1","S10","PN","4/19/21 14:08",14,8,14.13333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR011AT",3498,0,0,206,0,0,4,51730,0,8317,0,0,109,0,0,747,0,0,0,0,0,0,387,1617,0,0,59,0,0,0,5509,73,0,1622,0,35,2262,0,0
10,10,"4/19/21 14:26",1,10,0,1,1,-119.6921896,35.06494627,NA,NA,"AS10SN11","S","S","N",1,"S10","S10SN1","S10SN1","S10","SN","4/19/21 14:26",14,26,14.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR010AM",705,0,0,435,0,7,0,31058,0,5756,0,0,277,0,0,4072,0,5,30,348,0,8,642,2233,0,0,34,0,0,0,3906,86,0,1743,0,203,4858,446,0
11,11,"4/19/21 12:34",1,9,1,1,1,-119.6857639,35.06167467,NA,NA,"AS09PN11","S","P","N",1,"S09","S09PN1","S09PN1","S09","PN","4/19/21 12:34",12,34,12.56666667,"Spring",NA,NA,NA,34.56,33.96,35.83,34.64,4,1,"S911","JTMR011Z",1727,0,0,24,0,0,12,8831,0,20657,0,0,6,0,0,7540,0,18,0,0,191,0,246,1321,17,0,129,0,0,10,17537,92,0,799,0,46,2804,0,7
12,12,"4/19/21 12:49",1,9,0,1,1,-119.6858767,35.06172396,NA,NA,"AS09SN11","S","S","N",1,"S09","S09SN1","S09SN1","S09","SN","4/19/21 12:49",12,49,12.81666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S911","JTMR011AD",21356,0,0,6,0,0,0,16735,0,2350,0,0,14,0,0,1596,0,0,0,0,15,0,48,902,8,0,15,0,0,0,2676,24,4,258,0,413,2606,0,0
13,13,"4/19/21 12:59",1,9,1,0,1,-119.6859942,35.06130704,NA,NA,"AS09PE11","S","P","E",1,"S09","S09PE1","S09PE1","S09","PE","4/19/21 12:59",12,59,12.98333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S901","JTMR011AO",3030,0,6,80,0,0,3,25542,0,2303,0,0,62,0,0,1384,0,11,0,0,224,0,673,3827,0,0,16,8,0,9,20871,0,0,374,0,27,2113,0,0
