"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","Acarosporaceae","Acrospermaceae","Agaricaceae","Agaricales_fam_Incertae_sedis","Ajellomycetaceae","Alphamycetaceae","Amanitaceae","Ambisporaceae","Amniculicolaceae","Amphisphaeriaceae","Arachnomycetaceae","Archaeosporaceae","Arthrodermataceae","Ascobolaceae","Ascodesmidaceae","Ascosphaeraceae","Aspergillaceae","Atheliaceae","Aureobasidiaceae","Auriculariales_fam_Incertae_sedis","Bartaliniaceae","Bezerromycetaceae","Bionectriaceae","Bolbitiaceae","Boliniales_fam_Incertae_sedis","Botryosphaeriaceae","Botryosphaeriales_fam_Incertae_sedis","Buckleyzymaceae","Bulleraceae","Bulleribasidiaceae","Candelariaceae","Cantharellales_fam_Incertae_sedis","Capnodiaceae","Capnodiales_fam_Incertae_sedis","Cephalothecaceae","Ceratobasidiaceae","Ceratocystidaceae","Chaetomiaceae","Chaetosphaeriaceae","Chaetothyriales_fam_Incertae_sedis","Chionosphaeraceae","Chrysozymaceae","Chytridiaceae","Cladosporiaceae","Claroideoglomeraceae","Clavicipitaceae","Coniocessiaceae","Coniochaetaceae","Coniothyriaceae","Cordycipitaceae","Corticiaceae","Cucurbitariaceae","Cuniculitremaceae","Cunninghamellaceae","Cystobasidiaceae","Cystofilobasidiaceae","Debaryomycetaceae","Diaporthaceae","Diatrypaceae","Dictyosporiaceae","Didymellaceae","Didymosphaeriaceae","Diversisporaceae","Dothideaceae","Dothideomycetes_fam_Incertae_sedis","Dothioraceae","Elsinoaceae","Entolomataceae","Entylomataceae","Eremomycetaceae","Erysiphaceae","Erythrobasidiaceae","Erythrobasidiales_fam_Incertae_sedis","Extremaceae","Filobasidiaceae","Ganodermataceae","Geastraceae","Geminibasidiaceae","Gigasporaceae","Glomeraceae","Glomerellaceae","Glomosporiaceae","Gymnoascaceae","Harpochytriaceae","Helotiaceae","Helotiales_fam_Incertae_sedis","Herpotrichiellaceae","Holtermanniales_fam_Incertae_sedis","Hyaloscyphaceae","Hydnodontaceae","Hyphodermataceae","Hypocreaceae","Hypocreales_fam_Incertae_sedis","Hyponectriaceae","Inocybaceae","Irpicaceae","Lasiosphaeriaceae","Lecanoraceae","Lentitheciaceae","Leptosphaeriaceae","Leucosporidiaceae","Lichtheimiaceae","Lophiostomataceae","Lophiotremataceae","Lycoperdaceae","Magnaporthaceae","Melanommataceae","Melanosporaceae","Meruliaceae","Metschnikowiaceae","Microascaceae","Microbotryomycetes_fam_Incertae_sedis","Microdochiaceae","Microstromataceae","Mortierellaceae","Mrakiaceae","Mucoraceae","Mycenastraceae","Mycocaliciaceae","Mycosphaerellaceae","Myrmecridiaceae","Mytilinidiales_fam_Incertae_sedis","Myxotrichaceae","Nectriaceae","Olpidiaceae","Onygenaceae","Onygenales_fam_Incertae_sedis","Ophiocordycipitaceae","Orbiliaceae","Pacisporaceae","Paradictyoarthriniaceae","Parmeliaceae","Peniophoraceae","Periconiaceae","Pezizaceae","Pezizomycotina_fam_Incertae_sedis","Phaeococcomycetaceae","Phaeomoniellaceae","Phaeosphaeriaceae","Phaeotremellaceae","Phanerochaetaceae","Phelloriniaceae","Phomatosporaceae","Physciaceae","Piskurozymaceae","Planistromellaceae","Plectosphaerellaceae","Pleomassariaceae","Pleosporaceae","Pleosporales_fam_Incertae_sedis","Pleurotaceae","Pluteaceae","Powellomycetaceae","Protomycetaceae","Psathyrellaceae","Pseudeurotiaceae","Pseudolophiotremataceae","Pterulaceae","Pyronemataceae","Rhizophlyctidaceae","Rhizophydiaceae","Rhizopodaceae","Rhynchogastremataceae","Rhytismatales_fam_Incertae_sedis","Saccharomycetaceae","Saccharomycetales_fam_Incertae_sedis","Saksenaeaceae","Schizoporaceae","Sclerotiniaceae","Sirobasidiaceae","Sordariaceae","Sordariales_fam_Incertae_sedis","Sordariomycetes_fam_Incertae_sedis","Spizellomycetaceae","Sporidiobolaceae","Sporocadaceae","Sporormiaceae","Stachybotryaceae","Stephanosporaceae","Stictidaceae","Strophariaceae","Symmetrosporaceae","Sympoventuriaceae","Syncephalastraceae","Teloschistaceae","Teratosphaeriaceae","Testudinaceae","Thelebolaceae","Thelephoraceae","Tilachlidiaceae","Torulaceae","Trechisporales_fam_Incertae_sedis","Trematosphaeriaceae","Tremellaceae","Tremellales_fam_Incertae_sedis","Trichocomaceae","Tricholomataceae","Trichomeriaceae","Trichomonascaceae","Trichosphaeriaceae","Trichosporonaceae","Trimorphomycetaceae","Tuberaceae","Tulasnellaceae","unidentified","Unknown","Ustilaginaceae","Valsaceae","Venturiaceae","Verrucariaceae","Wallemiaceae","Xylariaceae"
1,1,"4/19/21 16:55",1,7,0,0,1,-119.6549475,35.08328973,NA,NA,"AS07SN11","S","S","E",1,"S07","S07SE1","S07SN1","S07","SE","4/19/21 16:55",16,55,16.91666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S701","JTMR011CQ",0,0,31,0,0,0,0,0,0,0,451,16,0,160,0,0,4462,0,352,0,0,14,0,102,0,76,0,0,0,127,0,0,0,0,0,106,0,690,0,24,0,0,0,14,33,5,0,6677,132,102,0,25,0,0,0,0,0,0,138,0,2813,9489,0,0,0,0,0,7,0,0,0,0,0,0,646,0,0,0,0,557,0,0,442,0,26,0,940,0,0,0,0,0,437,0,0,0,153,0,0,0,0,0,0,0,16,0,18,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,53,697,0,0,0,0,5,0,0,0,0,84,497,0,4521,0,1192,0,0,0,0,0,0,86,0,0,19554,0,5,0,0,4,0,119,0,0,73,0,0,22,74,0,0,0,0,0,2454,0,0,0,0,0,0,0,60,0,0,0,0,0,0,3,0,196,0,0,0,0,0,0,13,0,0,42,0,0,0,0,0,0,0,0,1641,4954,0,0,0,0,0,6
2,2,"4/19/21 17:05",1,7,1,0,1,-119.655221,35.06577047,NA,NA,"AS07PE11","S","P","E",1,"S07","S07PE1","S07PE1","S07","PE","4/19/21 17:05",17,5,17.08333333,"Spring",NA,NA,NA,34.13,37.14,NA,NA,2,0,"S701","JTMR011DP",0,0,0,0,240,0,0,0,0,0,370,0,35,2147,0,10,13401,0,42,0,0,0,49,112,0,20,0,0,0,22,0,0,0,0,74,24,0,3530,0,36,0,0,0,0,0,0,150,29,0,13,0,7,7,0,4,0,0,0,163,0,1502,540,0,0,0,0,0,0,0,30,0,0,0,0,123,0,0,0,0,10,0,0,794,0,12,202,106,0,0,0,0,0,182,0,0,0,890,0,9,0,0,98,0,0,14,0,0,0,0,0,4652,0,19,0,0,0,19,0,0,834,0,0,343,119,0,277,527,0,228,0,0,0,0,0,275,211,160,0,366,0,0,0,0,0,0,0,16,0,6548,37,0,0,0,0,6,8818,0,0,388,0,0,7,54,0,0,40,0,0,9047,0,8,0,0,0,0,0,6091,0,0,0,0,0,19,0,0,68,178,0,0,0,0,0,0,0,0,101,0,0,9,0,0,0,0,0,772,14767,0,0,0,0,0,28
3,3,"4/19/21 11:10",1,8,1,0,1,-119.6802852,35.05927597,NA,NA,"AS08PE11","S","P","E",1,"S08","S08PE1","S08PE1","S08","PE","4/19/21 11:10",11,10,11.16666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR010DY",0,0,3,0,21,0,0,0,0,0,127,0,166,247,10,0,4365,0,196,33,0,0,1980,0,0,0,0,0,0,34,0,0,0,0,0,0,0,5647,0,0,0,0,19,0,106,0,0,187,0,494,0,0,0,0,0,0,0,0,87,24,1431,77,47,0,0,0,0,7,0,1356,0,0,15,0,164,0,0,0,0,38,0,0,1163,0,95,29,873,0,0,0,0,0,647,98,0,0,844,0,381,0,11,25,0,0,12,0,0,0,0,0,4677,0,409,0,929,0,151,0,0,2489,0,0,624,124,17,370,126,0,47,0,0,0,0,0,41,0,611,0,253,0,0,0,0,0,68,20,29,0,4042,0,0,0,28,0,528,1274,0,0,1024,0,9,107,63,0,0,0,0,0,588,0,0,55,7,0,0,0,648,84,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,87,0,8,79,0,0,0,0,0,2196,2193,0,0,0,0,0,6
4,4,"4/19/21 11:39",1,8,0,0,1,-119.6800302,35.0587963,NA,NA,"AS08SE11","S","S","E",1,"S08","S08SE1","S08SE1","S08","SE","4/19/21 11:39",11,39,11.65,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR011AC",0,0,0,0,0,0,0,0,0,0,0,0,0,266,20,0,423,0,377,0,0,0,0,83,0,0,0,0,0,41,0,0,0,0,0,7,0,2104,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,41,0,4236,1297,32,0,0,0,0,501,0,0,0,0,0,0,42,0,0,0,0,103,0,0,58,0,120,0,43,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,0,0,0,12,0,0,0,0,0,0,0,0,0,0,514,0,491,0,27,0,0,0,0,0,0,0,0,0,19857,0,0,0,0,0,0,0,0,222,496,0,0,0,11,0,0,0,0,0,8863,0,0,231,0,0,0,0,666,461,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2244,0,0,0,0,0,0
6,6,"4/19/21 14:38",1,10,0,0,1,-119.480762,34.98586131,NA,NA,"AS10SE11","S","S","E",1,"S10","S10SE1","S10SE1","S10","SE","4/19/21 14:38",14,38,14.63333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1001","JTMR010CU",0,0,23,0,0,0,0,0,0,0,0,0,0,1023,0,0,2898,0,27,0,0,0,0,845,0,0,0,0,0,123,0,0,0,0,0,711,0,493,0,483,0,0,0,0,16,0,0,2852,0,26,0,0,0,0,0,0,0,0,1317,14,9611,1432,0,3,0,0,0,534,0,0,0,0,0,0,652,0,5,0,0,1513,0,293,90,113,0,0,998,0,0,0,0,0,0,0,0,0,980,0,383,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,396,0,0,0,0,61,0,0,0,1026,82,0,0,0,0,0,0,0,0,47,521,0,193,0,7052,0,0,0,0,0,240,0,0,0,13414,8,0,0,105,0,0,0,0,0,139,5,35,0,36,0,0,0,0,0,16110,0,0,0,0,0,0,0,125,0,3238,0,0,0,0,0,0,7,0,0,0,0,0,0,1417,0,0,6,0,27,0,0,0,0,38,0,7357,19068,0,0,0,0,0,0
9,9,"4/19/21 14:08",1,10,1,1,1,-119.6921527,35.06498,NA,NA,"AS10PN11","S","P","N",1,"S10","S10PN1","S10PN1","S10","PN","4/19/21 14:08",14,8,14.13333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR011AT",0,0,23,0,0,0,0,0,0,0,16,0,0,16,3,0,5295,0,473,0,0,0,0,10,0,20,0,0,0,353,0,0,0,0,0,3379,0,379,0,343,0,0,0,0,8,3,0,2495,0,0,0,0,0,0,4,0,0,0,712,0,2177,2839,0,133,0,0,0,5,0,0,0,0,0,0,1094,0,53,0,0,98,0,0,74,0,168,32,596,0,0,0,0,0,12,0,0,0,0,0,34,0,0,0,0,0,20,0,0,0,0,0,39,0,0,0,0,0,0,0,0,1259,0,0,21,216,0,0,77,0,103,0,0,0,0,31,1487,0,206,0,6630,0,0,0,0,0,0,0,14,0,23919,0,0,0,0,0,8,101,0,0,25,59,0,0,149,0,0,0,0,0,425,0,0,0,0,0,0,0,9296,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,195,0,774,0,0,0,20,86,0,1604,8558,0,0,0,0,0,0
10,10,"4/19/21 14:26",1,10,0,1,1,-119.6921896,35.06494627,NA,NA,"AS10SN11","S","S","N",1,"S10","S10SN1","S10SN1","S10","SN","4/19/21 14:26",14,26,14.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR010AM",0,0,28,0,5,0,0,0,0,0,0,0,0,44,0,0,3868,0,37,0,0,9,0,0,0,88,0,0,0,132,0,0,0,0,0,234,0,932,0,217,0,0,7,0,97,0,0,202,0,10,0,3,0,0,0,0,0,0,104,6,3583,2090,54,0,0,0,0,0,0,0,0,0,0,0,1256,0,0,0,0,126,0,446,159,30,91,0,492,0,0,0,0,0,0,0,0,0,57,0,75,44,5,0,0,0,23,0,4,0,0,0,7,0,23,0,348,0,0,0,0,4173,0,0,10,124,8,0,0,22,28,0,0,0,0,50,1140,0,435,0,2469,0,2,0,0,0,269,0,0,0,15075,0,10,0,36,0,0,0,0,0,919,34,0,0,59,0,0,0,0,0,3871,0,0,0,0,14,0,0,1973,0,190,0,0,0,0,0,0,12,0,0,0,0,0,0,68,0,0,0,0,12,0,0,0,0,130,0,2444,8339,0,0,0,0,0,0
11,11,"4/19/21 12:34",1,9,1,1,1,-119.6857639,35.06167467,NA,NA,"AS09PN11","S","P","N",1,"S09","S09PN1","S09PN1","S09","PN","4/19/21 12:34",12,34,12.56666667,"Spring",NA,NA,NA,34.56,33.96,35.83,34.64,4,1,"S911","JTMR011Z",0,0,11,0,101,0,0,0,0,0,1061,0,3,194,0,6,14443,0,42,0,0,0,0,29,0,16,0,0,0,13,0,0,0,0,518,0,0,9693,0,113,0,0,0,0,0,131,67,610,0,152,0,15,0,5,0,0,0,0,0,7,783,241,0,0,0,0,0,0,0,66,0,0,0,0,24,0,2,0,0,0,0,0,3485,0,27,33,120,0,0,20,0,0,1035,0,0,0,1299,0,30,0,0,111,0,38,1597,0,0,0,0,0,2093,0,146,0,0,0,67,0,0,2074,0,0,753,812,0,99,566,21,75,0,0,0,0,21,247,17,24,0,290,0,0,0,0,0,3,0,87,0,3062,85,5,0,0,0,9,6518,0,0,878,129,0,8,755,0,0,0,0,0,21,0,0,14,0,0,18,0,1243,32,3,0,0,0,58,0,0,0,0,13,0,0,0,0,0,0,0,205,0,61,6,0,4,0,0,0,751,4167,0,0,0,0,7,426
12,12,"4/19/21 12:49",1,9,0,1,1,-119.6858767,35.06172396,NA,NA,"AS09SN11","S","S","N",1,"S09","S09SN1","S09SN1","S09","SN","4/19/21 12:49",12,49,12.81666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S911","JTMR011AD",0,0,25,0,215,0,0,0,0,0,1194,0,0,510,0,0,648,0,35,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,13,862,0,1393,0,11,0,0,0,0,0,0,53,132,0,0,0,14,0,0,0,0,0,0,65,0,8488,273,0,0,0,0,0,23,0,0,0,0,0,0,52,0,0,0,0,14,0,0,33,0,51,0,81,0,0,0,0,0,15,0,0,0,329,0,0,9,0,0,0,0,20341,0,0,0,0,0,262,0,9,0,0,0,0,0,0,886,0,0,54,9,0,0,11,0,0,0,0,0,0,12,169,8,6,0,463,0,0,0,0,0,0,0,0,0,5488,0,30,0,0,4,55,236,0,0,169,15,0,15,111,0,0,0,0,0,1231,0,0,0,0,0,0,0,560,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,36,0,0,0,0,54,0,728,3422,0,0,0,0,0,0
13,13,"4/19/21 12:59",1,9,1,0,1,-119.6859942,35.06130704,NA,NA,"AS09PE11","S","P","E",1,"S09","S09PE1","S09PE1","S09","PE","4/19/21 12:59",12,59,12.98333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S901","JTMR011AO",0,0,13,0,0,8,0,0,0,0,134,6,0,2943,0,0,1070,0,252,0,0,0,0,14,0,0,0,0,0,124,0,0,0,0,0,230,0,2108,0,7,0,0,0,0,0,5502,21,1119,5,665,0,44,0,0,3,0,0,0,17,0,2703,610,0,0,0,0,0,148,0,53,0,0,0,0,90,0,0,0,0,0,0,0,14,0,391,15,290,0,0,0,0,0,619,0,68,0,8690,0,25,124,11,0,0,0,9,0,0,0,0,9,47,0,410,0,0,0,206,0,0,7019,0,0,363,278,0,0,0,29,39,0,0,0,0,0,785,0,80,0,190,0,0,0,0,0,0,33,260,0,2960,0,0,0,0,0,0,566,0,0,89,16,0,18,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,180,2537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,148,0,0,0,0,10,0,2006,12978,0,0,0,0,0,3
