"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","sample_num","veg_type","veg_level","vwc","period","soil_temp","pH","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","veg_type_med","veg_level_med","vwc_med","period_med","soil_temp_med","pH_med","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","Acarosporales","Acrospermales","Agaricales","Agaricostilbales","Archaeosporales","Atheliales","Auriculariales","Basidiobolales","Boliniales","Botryosphaeriales","Caliciales","Candelariales","Cantharellales","Capnodiales","Chaetosphaeriales","Chaetothyriales","Chytridiales","Coniochaetales","Corticiales","Cystobasidiales","Cystobasidiomycetes_ord_Incertae_sedis","Cystofilobasidiales","Diaporthales","Diversisporales","Dothideales","Dothideomycetes_ord_Incertae_sedis","Entorrhizales","Entylomatales","Erysiphales","Erythrobasidiales","Eurotiales","Filobasidiales","Geastrales","Geminibasidiales","Gigasporales","Glomerales","Glomerellales","GS05","GS11","Harpochytriales","Helotiales","Holtermanniales","Hymenochaetales","Hypocreales","Lecanorales","Leucosporidiales","Lichenostigmatales","Lobulomycetales","Magnaporthales","Melanosporales","Microascales","Microbotryomycetes_ord_Incertae_sedis","Microstromatales","Microthyriales","Mortierellales","Mucorales","Mycocaliciales","Myriangiales","Myrmecridiales","Mytilinidiales","Olpidiales","Onygenales","Orbiliales","Ostropales","Pezizales","Pezizomycotina_ord_Incertae_sedis","Phaeomoniellales","Phomatosporales","Platygloeales","Pleosporales","Polyporales","Rhizophlyctidales","Rhizophydiales","Rhytismatales","Russulales","Saccharomycetales","Sebacinales","Sordariales","Sordariomycetes_ord_Incertae_sedis","Spizellomycetales","Sporidiobolales","Taphrinales","Teloschistales","Thelebolales","Thelephorales","Trechisporales","Tremellales","Tremellodendropsidales","Trichosphaeriales","Trichosporonales","Tubeufiales","Umbelopsidales","unidentified","unspecified_Agaricomycetes","unspecified_Ascomycota","unspecified_Basidiobolomycota","unspecified_Basidiomycota","unspecified_Chytridiomycota","unspecified_Cystobasidiomycetes","unspecified_Dothideomycetes","unspecified_Eurotiomycetes","unspecified_Fungi","unspecified_Glomeromycota","unspecified_Leotiomycetes","unspecified_Microbotryomycetes","unspecified_Orbiliomycetes","unspecified_Sordariomycetes","unspecified_Tremellomycetes","Urocystidales","Ustilaginales","Venturiales","Verrucariales","Wallemiales","Xylariales"
1,1,"4/19/21 16:55",1,7,0,0,1,-119.6549475,35.08328973,NA,NA,"AS07SN11",1,1,1,8.7,1.229,90,7,"S","S","E",1,"S07","S07SE1","S07SN1","S07","SE",1,1,6.4,1.186,90,7,"4/19/21 16:55",16,55,16.91666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S701","JTMR011CQ",0,0,182,0,16,0,0,0,0,162,0,0,106,500,0,2078,0,6677,0,0,0,0,0,0,352,0,0,0,0,0,4504,646,0,0,0,590,0,0,0,0,2533,0,0,1284,0,0,4521,0,0,0,0,0,0,0,0,25,0,0,0,0,0,893,64,0,730,0,0,0,0,35774,0,0,0,0,0,0,0,1440,0,2,0,4,0,119,0,0,305,0,0,0,14,0,37,0,1401,0,105,0,0,0,0,467,0,166,0,0,54,0,0,0,0,0,0,144
2,2,"4/19/21 17:05",1,7,1,0,1,-119.655221,35.06577047,NA,NA,"AS07PE11",1,1,1,4.1,1.139,81,7,"S","P","E",1,"S07","S07PE1","S07PE1","S07","PE",1,1,6.2,1.181,87,7,"4/19/21 17:05",17,5,17.08333333,"Spring",NA,NA,NA,34.13,37.14,NA,NA,2,0,"S701","JTMR011DP",0,0,132,0,0,0,0,0,0,20,0,0,24,902,0,226,0,29,0,4,0,0,0,0,42,30,0,0,0,0,13502,123,0,0,0,10,16,0,0,0,9604,0,0,418,0,0,160,0,0,0,4652,0,0,0,0,124,0,0,0,0,0,2309,316,0,2810,211,0,0,0,15850,0,0,0,0,0,49,0,4553,0,266,0,0,0,8818,0,0,97,0,0,0,0,0,119,0,1913,0,5,0,0,0,45,1320,0,10912,0,0,12,0,0,0,19,0,0,387
3,3,"4/19/21 11:10",1,8,1,0,1,-119.6802852,35.05927597,NA,NA,"AS08PE11",1,1,3,5.8,1.176,73,8,"S","P","E",1,"S08","S08PE1","S08PE1","S08","PE",1,3,5.8,1.176,73,8,"4/19/21 11:10",11,10,11.16666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR010DY",0,0,550,0,0,0,33,0,0,20,0,0,0,2489,0,895,19,187,0,0,0,0,0,47,196,1356,0,0,0,15,4452,232,0,0,0,144,29,0,0,0,1336,0,0,3347,0,11,611,0,0,0,4677,0,0,0,929,283,0,0,0,0,17,2998,140,0,1322,0,0,0,0,7274,0,0,9,0,0,79,0,6561,7,39,0,0,0,1274,0,0,149,0,0,0,0,0,1124,0,940,0,0,45,0,23,7,566,0,35,0,0,15,0,0,0,0,0,0,602
4,4,"4/19/21 11:39",1,8,0,0,1,-119.6800302,35.0587963,NA,NA,"AS08SE11",1,1,3,9.2,1.244,74,8,"S","S","E",1,"S08","S08SE1","S08SE1","S08","SE",1,3,10.7,1.275,73,8,"4/19/21 11:39",11,39,11.65,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR011AC",0,0,806,0,0,0,0,0,0,0,0,0,7,1116,0,50,0,141,0,0,0,0,0,32,377,0,0,0,0,0,423,42,0,0,0,103,0,0,0,0,8983,0,0,481,0,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,11,0,1296,0,0,0,0,27829,0,0,0,0,0,0,0,2660,0,0,0,0,0,0,0,0,52,0,0,0,0,0,15,0,115,0,3,0,0,0,0,41,37,0,0,0,0,0,0,0,0,0,0,41
6,6,"4/19/21 14:38",1,10,0,0,1,-119.480762,34.98586131,NA,NA,"AS10SE11",1,0,0,3.8,1.137,90,NA,"S","S","E",1,"S10","S10SE1","S10SE1","S10","SE",0,0,4.7,1.154,95,NA,"4/19/21 14:38",14,38,14.63333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1001","JTMR010CU",0,0,4678,0,0,0,0,0,0,0,0,0,711,152,0,1837,0,2852,0,0,0,0,0,0,30,0,0,0,0,0,2904,892,5,0,0,1529,0,0,0,113,16110,0,0,2509,0,0,193,0,0,0,0,0,0,0,506,0,0,0,0,0,82,90,405,0,1721,0,0,0,0,39981,0,5,35,0,0,0,0,8055,0,700,0,0,0,0,0,0,179,0,0,0,0,0,110,30,3931,0,0,26,6,0,0,5600,0,0,0,0,662,0,293,0,0,0,0,1317
9,9,"4/19/21 14:08",1,10,1,1,1,-119.6921527,35.06498,NA,NA,"AS10PN11",1,2,1,5.3,1.171,86,NA,"S","P","N",1,"S10","S10PN1","S10PN1","S10","PN",2,1,5.3,1.171,80,NA,"4/19/21 14:08",14,8,14.13333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR011AT",0,0,66,0,0,0,0,0,0,20,0,0,3379,1287,0,2660,0,2495,0,4,0,0,0,3,606,0,0,0,0,0,5490,1094,53,0,0,106,14,0,0,0,646,0,0,309,0,0,206,0,0,0,39,0,0,0,0,0,0,0,0,0,0,167,387,0,1617,0,0,0,0,49768,0,59,0,0,0,0,0,1940,0,73,0,0,0,101,0,0,528,0,0,0,0,0,35,0,787,0,81,6,0,49,0,1388,0,0,0,0,0,0,0,0,0,0,0,712
10,10,"4/19/21 14:26",1,10,0,1,1,-119.6921896,35.06494627,NA,NA,"AS10SN11",1,2,1,7.5,1.213,81,NA,"S","S","N",1,"S10","S10SN1","S10SN1","S10","SN",2,1,6.9,1.202,81,NA,"4/19/21 14:26",14,26,14.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR010AM",0,0,332,0,0,0,0,0,0,88,0,0,234,4193,0,1724,7,202,0,0,0,0,0,54,37,0,0,0,0,0,3868,1525,0,0,0,223,0,0,0,30,4064,0,0,511,0,5,435,0,0,0,7,0,0,0,348,0,0,0,0,0,8,164,642,0,2233,0,0,0,0,26550,2,34,0,0,0,0,0,2741,0,86,0,0,0,0,0,0,199,0,0,0,9,0,328,12,2956,0,54,0,0,181,0,1848,0,8,0,0,318,19,446,0,0,0,0,127
11,11,"4/19/21 12:34",1,9,1,1,1,-119.6857639,35.06167467,NA,NA,"AS09PN11",1,1,2,2.6,1.109,92,NA,"S","P","N",1,"S09","S09PN1","S09PN1","S09","PN",1,2,2.9,1.116,89,NA,"4/19/21 12:34",12,34,12.56666667,"Spring",NA,NA,NA,34.56,33.96,35.83,34.64,4,1,"S911","JTMR011Z",0,0,1654,0,0,0,0,0,0,16,0,0,0,2074,0,605,0,610,0,0,0,0,0,6,42,66,0,0,0,0,14648,27,2,0,0,0,87,0,0,0,834,0,0,2183,0,0,24,0,0,0,2093,0,0,0,0,191,0,0,0,0,0,5404,240,0,1321,17,0,0,0,6575,0,129,0,0,0,10,0,11619,0,92,18,0,0,6531,0,20,768,0,0,4,0,0,52,51,2572,0,0,22,12,0,0,210,0,175,0,0,296,0,0,0,58,0,7,649
12,12,"4/19/21 12:49",1,9,0,1,1,-119.6858767,35.06172396,NA,NA,"AS09SN11",1,1,1,0.9,1.068,86,NA,"S","S","N",1,"S09","S09SN1","S09SN1","S09","SN",1,1,4.9,1.162,76,NA,"4/19/21 12:49",12,49,12.81666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S911","JTMR011AD",0,0,20494,0,0,0,0,0,0,0,0,0,862,886,0,249,0,132,0,0,0,0,0,0,35,0,0,0,0,0,648,52,0,0,0,14,0,0,0,0,1336,0,0,42,0,0,6,0,0,0,262,0,0,0,0,15,0,0,0,0,0,1453,48,0,902,8,0,0,0,15814,0,15,0,0,0,0,0,2049,0,24,0,4,0,240,0,0,206,0,0,0,0,0,413,0,119,0,9,0,0,0,0,2478,0,20,0,0,64,0,0,0,0,0,0,127
13,13,"4/19/21 12:59",1,9,1,0,1,-119.6859942,35.06130704,NA,NA,"AS09PE11",1,1,2,2.9,1.117,68,NA,"S","P","E",1,"S09","S09PE1","S09PE1","S09","PE",1,2,2.9,1.117,73,NA,"4/19/21 12:59",12,59,12.98333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S901","JTMR011AO",0,0,2789,0,6,0,0,0,0,33,0,0,230,7019,0,1085,0,1119,0,3,0,0,7,62,252,53,0,0,0,0,1070,90,0,0,0,0,260,0,0,0,807,0,0,7299,0,11,80,0,0,0,47,0,0,0,0,224,0,0,0,0,0,148,673,0,3827,0,0,0,0,18185,0,16,8,0,0,9,0,11688,0,0,0,0,0,566,0,0,284,0,0,0,0,0,38,0,1893,0,5,0,0,0,0,215,0,11,0,0,0,0,0,0,0,0,0,451
