Library_Name,sampleid
JTMR010CF,AC01PE11
JTMR011BF,AC01PE12
JTMR010BY,AC01PE13
JTMR011BC,AC01PE14
JTMR010DJ,AC01PE15
JTMR010DD,AC01PN11
JTMR011CW,AC01PN12
JTMR010DA,AC01PN13
JTMR010CZ,AC01PN14
JTMR010U,AC01PN15
JTMR011DX,AC01SE11
JTMR010CG,AC01SE12
JTMR010EF,AC01SE13
JTMR010EK,AC01SE14
JTMR010A,AC01SE15
JTMR011AE,AC01SN11
JTMR010FF,AC01SN12
JTMR010V,AC01SN13
JTMR011CN,AC01SN14
JTMR011FD,AC01SN15
JTMR011DK,AC02PE11
JTMR011CU,AC02PE12
JTMR011R,AC02PE13
JTMR010CL,AC02PE14
JTMR011BH,AC02PE15
JTMR010EN,AC02PN11
JTMR010BC,AC02PN12
JTMR010AD,AC02PN13
JTMR011AS,AC02PN14
JTMR010O,AC02PN15
JTMR011BN,AC02SE11
JTMR011DS,AC02SE12
JTMR010CD,AC02SE13
JTMR010FC,AC02SE14
JTMR010AW,AC02SE15
JTMR010AO,AC02SN11
JTMR011ER,AC02SN12
JTMR011AN,AC02SN13
JTMR011DM,AC02SN14
JTMR010FG,AC02SN15
JTMR011EZ,AC04PE11
JTMR011AY,AC04PE12
JTMR011AA,AC04PE13
JTMR011EX,AC04PE14
JTMR010AZ,AC04PN11
JTMR010EU,AC04PN12
JTMR010T,AC04PN13
JTMR011EA,AC04PN14
JTMR010N,AC04PN15
JTMR011BX,AC04SE11
JTMR010Q,AC04SE12
JTMR011CS,AC04SE13
JTMR010AG,AC04SE14
JTMR010CT,AC04SE15
JTMR010AB,AC04SN11
JTMR010ET,AC04SN12
JTMR011AU,AC04SN13
JTMR011FF,AC04SN14
JTMR011CC,AC04SN15
JTMR010DP,AC05PE11
JTMR011CX,AC05PE12
JTMR011E,AC05PE13
JTMR011EN,AC05PE14
JTMR010CC,AC05PE15
JTMR010R,AC05PN11
JTMR010BG,AC05PN12
JTMR011FA,AC05PN13
JTMR011CL,AC05PN14
JTMR011H,AC05PN15
JTMR010CM,AC05SE11
JTMR010DX,AC05SE12
JTMR011CZ,AC05SE13
JTMR011DY,AC05SE14
JTMR011EJ,AC05SE15
JTMR010BS,AC05SN11
JTMR010AC,AC05SN12
JTMR010BN,AC05SN14
JTMR011EB,AC05SN15
JTMR011DC,AC06PE11
JTMR011O,AC06PE12
JTMR011EM,AC06PE13
JTMR011DF,AC06PE14
JTMR010EM,AC06PE15
JTMR010AN,AC06PN11
