X.1,X,date_time_samp,site,plot_num,treatment,exclosure,paired,longitude,latitude,man_long,man_lat,barcode,siteX,treatmentX,exclosureX,pairedX,plot,cluster,clusterBC,plotBC,factorial,Date,hour,minute,time,season,notes_cluster,number,year,CT1,CT2,CT3,CT4,Ct_detects,positive,cluster_pair
1,1,4/19/21 16:55,1,7,0,0,1,-119.6549475,35.08328973,NA,NA,AS07SN11,S,S,E,1,S07,S07SE1,S07SN1,S07,SE,4/19/21 16:55,16,55,16.91666667,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,S701
2,2,4/19/21 17:05,1,7,1,0,1,-119.655221,35.06577047,NA,NA,AS07PE11,S,P,E,1,S07,S07PE1,S07PE1,S07,PE,4/19/21 17:05,17,5,17.08333333,Spring,NA,NA,NA,34.13,37.14,NA,NA,2,0,S701
3,3,4/19/21 11:10,1,8,1,0,1,-119.6802852,35.05927597,NA,NA,AS08PE11,S,P,E,1,S08,S08PE1,S08PE1,S08,PE,4/19/21 11:10,11,10,11.16666667,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,S801
4,4,4/19/21 11:39,1,8,0,0,1,-119.6800302,35.0587963,NA,NA,AS08SE11,S,S,E,1,S08,S08SE1,S08SE1,S08,SE,4/19/21 11:39,11,39,11.65,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,S801
6,6,4/19/21 14:38,1,10,0,0,1,-119.480762,34.98586131,NA,NA,AS10SE11,S,S,E,1,S10,S10SE1,S10SE1,S10,SE,4/19/21 14:38,14,38,14.63333333,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,S1001
9,9,4/19/21 14:08,1,10,1,1,1,-119.6921527,35.06498,NA,NA,AS10PN11,S,P,N,1,S10,S10PN1,S10PN1,S10,PN,4/19/21 14:08,14,8,14.13333333,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,S1011
10,10,4/19/21 14:26,1,10,0,1,1,-119.6921896,35.06494627,NA,NA,AS10SN11,S,S,N,1,S10,S10SN1,S10SN1,S10,SN,4/19/21 14:26,14,26,14.43333333,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,S1011
11,11,4/19/21 12:34,1,9,1,1,1,-119.6857639,35.06167467,NA,NA,AS09PN11,S,P,N,1,S09,S09PN1,S09PN1,S09,PN,4/19/21 12:34,12,34,12.56666667,Spring,NA,NA,NA,34.56,33.96,35.83,34.64,4,1,S911
12,12,4/19/21 12:49,1,9,0,1,1,-119.6858767,35.06172396,NA,NA,AS09SN11,S,S,N,1,S09,S09SN1,S09SN1,S09,SN,4/19/21 12:49,12,49,12.81666667,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,S911
13,13,4/19/21 12:59,1,9,1,0,1,-119.6859942,35.06130704,NA,NA,AS09PE11,S,P,E,1,S09,S09PE1,S09PE1,S09,PE,4/19/21 12:59,12,59,12.98333333,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,S901
14,14,4/19/21 13:07,1,9,0,0,1,-119.6860301,35.06126718,NA,NA,AS09SE11,S,S,E,1,S09,S09SE1,S09SE1,S09,SE,4/19/21 13:07,13,7,13.11666667,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,S901
16,16,4/19/21 10:20,1,8,1,1,1,-119.6803251,35.05925036,NA,NA,AS08PN11,S,P,N,1,S08,S08PN1,S08PN1,S08,PN,4/19/21 10:20,10,20,10.33333333,Spring,NA,NA,NA,NA,36.74,37.26,38.38,3,1,S811
17,17,4/19/21 10:42,1,8,0,1,1,-119.6803061,35.0592554,NA,NA,AS08SN11,S,S,N,1,S08,S08SN1,S08SN1,S08,SN,4/19/21 10:42,10,42,10.7,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,S811
18,18,4/19/21 14:38,1,10,1,0,1,-119.6926353,35.0647591,NA,NA,AS10PE11,S,P,E,1,S10,S10PE1,S10PE1,S10,PE,4/19/21 14:38,14,38,14.63333333,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,S1001
19,19,4/19/21 15:52,1,7,1,1,1,-119.6555894,35.08361336,NA,NA,AS07PN11,S,P,N,1,S07,S07PN1,S07PN1,S07,PN,4/19/21 15:52,15,52,15.86666667,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,S711
20,20,4/19/21 16:10,1,7,0,1,1,-119.6556631,35.08355597,NA,NA,AS07SE11,S,S,N,1,S07,S07SN1,S07SE1,S07,SN,4/19/21 16:10,16,10,16.16666667,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,S711
21,21,4/20/21 8:54,0,1,1,1,1,-119.7464592,35.13335429,NA,NA,AC01PN11,C,P,N,1,C01,C01PN1,C01PN1,C01,PN,4/20/21 8:54,8,54,8.9,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,C111
22,22,4/20/21 9:19,0,1,0,1,1,-119.7465261,35.13336847,NA,NA,AC01SN11,C,S,N,1,C01,C01SN1,C01SN1,C01,SN,4/20/21 9:19,9,19,9.316666667,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,C111
23,23,4/20/21 9:36,0,1,1,0,1,-119.7465626,35.13333827,NA,NA,AC01PE11,C,P,E,1,C01,C01PE1,C01PE1,C01,PE,4/20/21 9:36,9,36,9.6,Spring,NA,NA,NA,NA,NA,NA,NA,0,0,C101
